step,score,cells
2400,0.0,53
4800,0.0,67
7200,0.0,68
9585,0.0,72
11951,0.0,80
14340,0.0,82
16688,0.0,82
19088,0.0,85
21483,0.0,86
23883,0.0,91
26266,0.0,92
28573,0.0,92
30943,0.0,95
33343,0.0,98
35731,0.0,98
38131,0.0,101
40515,0.0,105
42915,0.0,105
45315,0.0,107
47708,0.0,107
50108,0.0,107
52488,0.0,109
54888,0.0,110
57288,0.0,110
59676,0.0,111
62059,0.0,111
64459,0.0,111
66859,0.0,111
69259,0.0,111
71656,0.0,111
74027,0.0,111
76427,0.0,112
78822,0.0,112
81214,0.0,112
83614,0.0,112
86008,0.0,112
88381,0.0,112
90781,0.0,112
93181,0.0,113
95563,0.0,113
97963,0.0,114
100353,0.0,114
102753,0.0,114
105137,0.0,114
107525,0.0,114
109920,0.0,114
112320,0.0,114
114717,0.0,114
117117,0.0,115
119517,0.0,115
121876,0.0,115
124269,0.0,115
126669,0.0,117
129069,0.0,117
131448,0.0,117
133825,0.0,117
136225,100.0,120
138605,100.0,138
141003,100.0,165
143399,100.0,174
145756,100.0,180
148119,400.0,195
150443,400.0,209
152706,400.0,215
154896,400.0,222
156952,400.0,227
159246,400.0,228
161576,400.0,228
163963,400.0,235
166259,400.0,238
168574,400.0,245
170679,400.0,248
172954,400.0,252
175347,400.0,253
177553,400.0,257
179829,400.0,257
182137,400.0,258
184327,400.0,266
186583,400.0,370
188836,400.0,463
191173,400.0,569
193534,400.0,635
195715,400.0,674
198115,400.0,752
200492,400.0,827
202854,400.0,865
205254,400.0,907
207626,400.0,959
210026,400.0,990
212363,400.0,1016
214751,400.0,1067
217151,400.0,1140
219489,400.0,1182
221889,400.0,1205
224231,400.0,1275
226631,400.0,1316
229011,400.0,1355
231344,400.0,1382
233744,400.0,1419
236144,400.0,1443
238460,400.0,1473
240810,400.0,1500
243210,400.0,1525
245484,400.0,1549
247865,400.0,1567
250258,400.0,1573
252649,400.0,1601
255049,400.0,1631
257402,400.0,1649
259802,400.0,1689
262194,400.0,1711
264594,400.0,1731
266994,400.0,1757
269394,400.0,1780
271794,400.0,1804
274059,400.0,1819
276426,400.0,1840
278826,400.0,1852
281226,400.0,1867
283626,400.0,1890
286026,400.0,1915
288426,400.0,1934
290808,400.0,1959
293208,400.0,1977
295506,400.0,1990
297887,400.0,2001
300287,400.0,2014
302682,400.0,2035
305034,400.0,2045
307434,400.0,2070
309748,400.0,2077
312079,400.0,2089
314479,400.0,2107
316879,400.0,2135
319228,400.0,2146
321628,400.0,2175
324025,400.0,2188
326425,400.0,2195
328742,400.0,2214
331132,400.0,2224
333510,400.0,2238
335906,400.0,2253
338282,400.0,2260
340682,400.0,2281
343079,500.0,2294
345462,500.0,2309
347862,500.0,2318
350241,500.0,2332
352641,500.0,2350
355018,500.0,2365
357418,500.0,2369
359818,500.0,2382
362185,500.0,2400
364576,500.0,2412
366976,500.0,2422
369305,500.0,2445
371655,500.0,2451
374055,500.0,2472
376455,500.0,2485
378793,500.0,2498
381193,500.0,2521
383578,500.0,2541
385976,500.0,2549
388346,500.0,2565
390746,500.0,2579
393108,500.0,2590
395508,500.0,2598
397908,500.0,2606
400289,500.0,2616
402612,500.0,2629
404915,500.0,2634
407308,500.0,2653
409676,500.0,2666
412005,500.0,2680
414388,500.0,2685
416744,500.0,2696
419090,500.0,2704
421490,500.0,2719
423831,500.0,2721
426231,500.0,2726
428529,500.0,2738
430881,500.0,2748
433281,500.0,2751
435681,500.0,2757
438007,500.0,2759
440407,500.0,2766
442807,500.0,2772
445160,500.0,2776
447560,500.0,2788
449885,500.0,2796
452268,500.0,2807
454668,500.0,2811
457068,500.0,2826
459330,500.0,2830
