training_step,0,1,2,3,4
2172,753,469,329,456,570
4269,753,469,329,456,570
6400,753,469,329,456,570
8443,753,469,329,446,570
10563,753,469,319,446,570
12673,753,469,319,446,570
14818,753,469,319,436,560
17067,753,469,309,436,560
19323,753,469,309,436,560
21488,753,469,309,436,560
23654,753,469,309,426,560
25864,753,469,309,426,560
28193,753,469,299,426,550
30582,753,469,299,426,550
32940,753,469,299,426,550
35203,753,469,299,416,550
37821,753,469,289,416,540
40408,753,469,289,416,540
43085,753,469,289,416,540
45432,753,469,289,406,540
47689,753,469,289,406,530
50196,753,469,289,406,530
52553,753,469,289,406,530
55225,753,469,289,406,530
57671,753,469,289,406,530
60183,753,469,289,406,520
62434,753,469,289,406,520
64566,753,469,289,406,520
66603,753,469,289,406,520
68661,753,469,289,406,520
70732,753,469,289,406,520
72799,753,469,289,406,520
74801,753,469,289,406,520
76903,753,469,289,406,520
78973,753,469,289,406,520
81032,753,469,289,396,520
83139,753,469,289,396,520
85394,753,469,289,396,520
87525,753,469,289,396,520
89671,753,469,289,396,510
91791,753,469,289,386,510
93954,753,469,289,386,510
96163,753,469,289,386,510
98407,753,469,289,386,510
100695,753,469,289,386,510
102840,753,469,289,386,510
105054,753,469,289,386,510
107309,753,469,289,386,510
109608,753,469,289,386,510
111854,753,469,289,386,510
114082,753,469,289,386,510
116464,753,469,289,386,510
118634,753,469,289,386,510
120758,753,469,289,386,510
122939,753,469,289,386,510
125252,753,469,289,386,510
127582,753,469,289,386,510
129686,753,469,289,386,510
131929,753,469,289,386,510
134258,753,469,289,386,510
136492,753,469,289,386,510
138703,753,469,289,386,510
141006,753,469,289,386,510
143327,753,469,289,386,510
145624,753,469,289,386,510
147879,753,469,289,386,510
150298,753,469,289,386,510
152530,753,469,289,386,510
154976,753,469,289,386,510
157215,753,469,289,386,510
159501,753,469,289,386,510
161647,753,469,289,386,510
163911,753,459,289,386,510
166070,753,459,289,386,510
168425,753,459,289,386,510
170648,753,459,289,386,510
172998,753,449,289,386,510
175272,753,449,289,386,510
177584,753,449,289,386,510
179824,753,449,289,386,510
182073,753,439,289,386,510
184303,753,439,289,386,510
186448,753,439,289,386,510
188741,753,439,289,386,510
191081,753,439,289,386,510
193383,753,429,289,386,510
195813,753,429,289,386,510
198168,753,429,289,386,510
200543,753,429,289,386,510
202956,753,429,289,386,510
205340,753,419,289,386,510
207781,753,419,289,386,510
210100,753,419,289,386,510
212446,753,419,289,386,510
214693,753,419,289,386,510
217103,753,409,289,386,510
219612,753,409,289,386,510
222128,753,409,289,386,510
224398,753,409,289,386,510
226829,753,409,289,386,510
229342,753,399,289,386,510
231910,753,399,289,386,510
234207,753,399,289,386,510
236741,753,399,289,386,510
239247,753,389,289,386,510
241556,753,389,289,386,510
243967,753,389,289,386,510
246370,753,389,289,386,510
248824,753,389,289,386,510
251174,753,389,289,386,510
253548,753,379,289,386,510
256044,753,379,289,386,510
258279,753,379,289,386,510
260572,753,379,289,386,510
262785,753,379,289,386,510
265178,753,379,289,386,510
267527,753,379,289,386,510
269885,753,379,289,386,510
272080,753,379,289,386,510
274474,753,379,289,386,510
276754,753,379,289,386,510
279055,753,379,289,386,510
281418,753,379,289,386,510
283852,753,379,289,386,510
286118,753,379,289,386,510
288432,753,379,289,386,510
290717,753,379,289,386,510
293024,753,379,289,386,510
295466,753,369,289,386,510
297998,753,369,289,386,510
300357,753,369,289,386,510
302710,753,369,289,386,510
305119,753,369,289,386,510
307449,753,369,289,386,510
